Model,R2 Score,MAE
Linear Regression,0.8067729388709001,0.21011396202881866
Ridge Regression,0.8127240625523249,0.20951882082037918
Lasso Regression,0.8071016909596216,0.21156263266148398
Decision Tree Regressor,0.838302095119879,0.18265096121442237
Random Forest Regressor (Base),0.8826646613781288,0.16216122198722738
Random Forest Regressor (with Hyperparameter Tuning),0.900547638332447,0.15052114245173814
KNN (with Hyperparameter Tuning),0.831590442756715,0.17832133759147267
